Date,Citizens Advice
2004-01-01,87
2004-02-01,94
2004-03-01,85
2004-04-01,86
2004-05-01,80
2004-06-01,89
2004-07-01,87
2004-08-01,97
2004-09-01,83
2004-10-01,84
2004-11-01,82
2004-12-01,74
2005-01-01,85
2005-02-01,100
2005-03-01,90
2005-04-01,87
2005-05-01,79
2005-06-01,89
2005-07-01,90
2005-08-01,93
2005-09-01,94
2005-10-01,85
2005-11-01,86
2005-12-01,68
2006-01-01,92
2006-02-01,89
2006-03-01,83
2006-04-01,79
2006-05-01,81
2006-06-01,92
2006-07-01,92
2006-08-01,86
2006-09-01,86
2006-10-01,80
2006-11-01,91
2006-12-01,64
2007-01-01,86
2007-02-01,81
2007-03-01,81
2007-04-01,76
2007-05-01,67
2007-06-01,72
2007-07-01,77
2007-08-01,73
2007-09-01,71
2007-10-01,81
2007-11-01,72
2007-12-01,58
2008-01-01,82
2008-02-01,80
2008-03-01,71
2008-04-01,70
2008-05-01,69
2008-06-01,76
2008-07-01,80
2008-08-01,69
2008-09-01,70
2008-10-01,73
2008-11-01,63
2008-12-01,55
2009-01-01,84
2009-02-01,81
2009-03-01,76
2009-04-01,69
2009-05-01,64
2009-06-01,79
2009-07-01,77
2009-08-01,73
2009-09-01,76
2009-10-01,68
2009-11-01,66
2009-12-01,51
2010-01-01,68
2010-02-01,73
2010-03-01,68
2010-04-01,63
2010-05-01,55
2010-06-01,61
2010-07-01,65
2010-08-01,63
2010-09-01,63
2010-10-01,57
2010-11-01,59
2010-12-01,40
2011-01-01,79
2011-02-01,81
2011-03-01,73
2011-04-01,63
2011-05-01,66
2011-06-01,70
2011-07-01,69
2011-08-01,67
2011-09-01,68
2011-10-01,66
2011-11-01,65
2011-12-01,54
2012-01-01,74
2012-02-01,72
2012-03-01,70
2012-04-01,60
2012-05-01,62
2012-06-01,62
2012-07-01,65
2012-08-01,64
2012-09-01,64
2012-10-01,65
2012-11-01,63
2012-12-01,47
2013-01-01,66
2013-02-01,70
2013-03-01,61
2013-04-01,62
2013-05-01,59
2013-06-01,61
2013-07-01,69
2013-08-01,64
2013-09-01,65
2013-10-01,66
2013-11-01,63
2013-12-01,47
2014-01-01,68
2014-02-01,66
2014-03-01,58
2014-04-01,60
2014-05-01,56
2014-06-01,60
2014-07-01,64
2014-08-01,56
2014-09-01,59
2014-10-01,61
2014-11-01,58
2014-12-01,48
2015-01-01,62
2015-02-01,63
2015-03-01,61
2015-04-01,56
2015-05-01,53
2015-06-01,59
2015-07-01,59
2015-08-01,55
2015-09-01,60
2015-10-01,58
2015-11-01,54
2015-12-01,45
2016-01-01,58
2016-02-01,66
2016-03-01,59
2016-04-01,55
2016-05-01,53
2016-06-01,59
2016-07-01,57
2016-08-01,57
2016-09-01,62
2016-10-01,56
2016-11-01,54
2016-12-01,41
2017-01-01,58
2017-02-01,60
2017-03-01,64
2017-04-01,54
2017-05-01,58
2017-06-01,61
2017-07-01,63
2017-08-01,60
2017-09-01,60
2017-10-01,66
2017-11-01,60
2017-12-01,46
2018-01-01,70
2018-02-01,72
2018-03-01,71
2018-04-01,66
2018-05-01,69
2018-06-01,70
2018-07-01,71
2018-08-01,62
2018-09-01,71
2018-10-01,68
2018-11-01,66
2018-12-01,49
2019-01-01,73
2019-02-01,74
2019-03-01,69
2019-04-01,64
2019-05-01,65
2019-06-01,67
2019-07-01,71
2019-08-01,66
2019-09-01,66
2019-10-01,64
2019-11-01,61
2019-12-01,46
2020-01-01,66
2020-02-01,67
2020-03-01,67
2020-04-01,37
2020-05-01,35
2020-06-01,43
2020-07-01,50
2020-08-01,47
2020-09-01,53
2020-10-01,50
2020-11-01,44
2020-12-01,37
2021-01-01,42
2021-02-01,47
2021-03-01,51
2021-04-01,48
2021-05-01,52
2021-06-01,59
2021-07-01,56
2021-08-01,51
2021-09-01,60
2021-10-01,52
2021-11-01,56
2021-12-01,45
2022-01-01,55
2022-02-01,64
2022-03-01,65
2022-04-01,61
2022-05-01,59
2022-06-01,60
2022-07-01,59
2022-08-01,65
2022-09-01,66
2022-10-01,59
2022-11-01,62
2022-12-01,47
2023-01-01,64
2023-02-01,61
2023-03-01,66
2023-04-01,53
2023-05-01,54
2023-06-01,57
2023-07-01,52
2023-08-01,55
2023-09-01,56
2023-10-01,56
2023-11-01,53
2023-12-01,42
2024-01-01,60
2024-02-01,56
2024-03-01,51
2024-04-01,54
2024-05-01,48
2024-06-01,42
2024-07-01,50
2024-08-01,49
2024-09-01,53
2024-10-01,49
2024-11-01,48
2024-12-01,37
2025-01-01,51
2025-02-01,53
2025-03-01,50
2025-04-01,44
2025-05-01,44
2025-06-01,46
