Date,job-seekers_allowance
01/01/2004,24
01/02/2004,20
01/03/2004,20
01/04/2004,18
01/05/2004,20
01/06/2004,21
01/07/2004,24
01/08/2004,24
01/09/2004,24
01/10/2004,20
01/11/2004,18
01/12/2004,14
01/01/2005,19
01/02/2005,21
01/03/2005,20
01/04/2005,19
01/05/2005,20
01/06/2005,24
01/07/2005,27
01/08/2005,26
01/09/2005,25
01/10/2005,22
01/11/2005,21
01/12/2005,15
01/01/2006,25
01/02/2006,21
01/03/2006,20
01/04/2006,19
01/05/2006,19
01/06/2006,26
01/07/2006,31
01/08/2006,29
01/09/2006,26
01/10/2006,24
01/11/2006,20
01/12/2006,16
01/01/2007,23
01/02/2007,23
01/03/2007,22
01/04/2007,21
01/05/2007,21
01/06/2007,25
01/07/2007,31
01/08/2007,25
01/09/2007,26
01/10/2007,22
01/11/2007,20
01/12/2007,16
01/01/2008,27
01/02/2008,25
01/03/2008,22
01/04/2008,23
01/05/2008,25
01/06/2008,31
01/07/2008,38
01/08/2008,32
01/09/2008,37
01/10/2008,37
01/11/2008,40
01/12/2008,37
01/01/2009,57
01/02/2009,50
01/03/2009,50
01/04/2009,55
01/05/2009,49
01/06/2009,75
01/07/2009,67
01/08/2009,57
01/09/2009,59
01/10/2009,52
01/11/2009,45
01/12/2009,40
01/01/2010,50
01/02/2010,50
01/03/2010,44
01/04/2010,54
01/05/2010,45
01/06/2010,58
01/07/2010,56
01/08/2010,50
01/09/2010,56
01/10/2010,49
01/11/2010,43
01/12/2010,37
01/01/2011,75
01/02/2011,63
01/03/2011,59
01/04/2011,54
01/05/2011,60
01/06/2011,76
01/07/2011,83
01/08/2011,85
01/09/2011,83
01/10/2011,69
01/11/2011,67
01/12/2011,51
01/01/2012,74
01/02/2012,69
01/03/2012,62
01/04/2012,71
01/05/2012,74
01/06/2012,84
01/07/2012,94
01/08/2012,88
01/09/2012,90
01/10/2012,82
01/11/2012,82
01/12/2012,77
01/01/2013,100
01/02/2013,86
01/03/2013,76
01/04/2013,86
01/05/2013,85
01/06/2013,84
01/07/2013,93
01/08/2013,87
01/09/2013,94
01/10/2013,88
01/11/2013,80
01/12/2013,81
01/01/2014,99
01/02/2014,81
01/03/2014,68
01/04/2014,76
01/05/2014,73
01/06/2014,85
01/07/2014,87
01/08/2014,79
01/09/2014,85
01/10/2014,80
01/11/2014,71
01/12/2014,68
01/01/2015,83
01/02/2015,76
01/03/2015,71
01/04/2015,63
01/05/2015,60
01/06/2015,68
01/07/2015,70
01/08/2015,62
01/09/2015,70
01/10/2015,60
01/11/2015,57
01/12/2015,51
01/01/2016,60
01/02/2016,58
01/03/2016,56
01/04/2016,51
01/05/2016,51
01/06/2016,55
01/07/2016,54
01/08/2016,50
01/09/2016,53
01/10/2016,47
01/11/2016,63
01/12/2016,55
01/01/2017,74
01/02/2017,69
01/03/2017,65
01/04/2017,58
01/05/2017,50
01/06/2017,53
01/07/2017,55
01/08/2017,53
01/09/2017,58
01/10/2017,58
01/11/2017,51
01/12/2017,47
01/01/2018,64
01/02/2018,59
01/03/2018,49
01/04/2018,50
01/05/2018,45
01/06/2018,44
01/07/2018,48
01/08/2018,39
01/09/2018,44
01/10/2018,43
01/11/2018,35
01/12/2018,27
01/01/2019,42
01/02/2019,31
01/03/2019,29
01/04/2019,27
01/05/2019,26
01/06/2019,25
01/07/2019,26
01/08/2019,25
01/09/2019,27
01/10/2019,22
01/11/2019,21
01/12/2019,17
01/01/2020,23
01/02/2020,23
01/03/2020,64
01/04/2020,54
01/05/2020,39
01/06/2020,41
01/07/2020,44
01/08/2020,42
01/09/2020,48
01/10/2020,44
01/11/2020,39
01/12/2020,27
01/01/2021,36
01/02/2021,29
01/03/2021,28
01/04/2021,24
01/05/2021,21
01/06/2021,20
01/07/2021,18
01/08/2021,17
01/09/2021,18
01/10/2021,17
01/11/2021,16
01/12/2021,14
01/01/2022,18
01/02/2022,17
01/03/2022,17
01/04/2022,16
01/05/2022,16
01/06/2022,16
01/07/2022,17
01/08/2022,18
01/09/2022,19
01/10/2022,16
01/11/2022,18
01/12/2022,13
01/01/2023,19
01/02/2023,19
01/03/2023,19
01/04/2023,18
01/05/2023,17
01/06/2023,18
01/07/2023,18
01/08/2023,19
01/09/2023,19
01/10/2023,18
01/11/2023,20
01/12/2023,16
01/01/2024,22
01/02/2024,21
01/03/2024,20
01/04/2024,21
01/05/2024,19
01/06/2024,19
01/07/2024,19
01/08/2024,19
01/09/2024,22
01/10/2024,20
01/11/2024,19
01/12/2024,16
01/01/2025,22
01/02/2025,20
01/03/2025,21
01/04/2025,20
01/05/2025,18
01/06/2025,23
